file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\EIDPARRY_minute.csv,448287.9268463934
D:\\FINANCE PROJECTS\\DATASETS\\archive\EIHOTEL_minute.csv,297281.6678780859
D:\\FINANCE PROJECTS\\DATASETS\\archive\ELECON_minute.csv,420116.07817773276
D:\\FINANCE PROJECTS\\DATASETS\\archive\ELGIEQUIP_minute.csv,344023.8262706836
D:\\FINANCE PROJECTS\\DATASETS\\archive\EMAMILTD_minute.csv,697159.1549208487
D:\\FINANCE PROJECTS\\DATASETS\\archive\EMCURE_minute.csv,783860.6219796186
D:\\FINANCE PROJECTS\\DATASETS\\archive\ENDURANCE_minute.csv,502134.3095169046
D:\\FINANCE PROJECTS\\DATASETS\\archive\ENGINERSIN_minute.csv,1298921.5805634712
D:\\FINANCE PROJECTS\\DATASETS\\archive\ENRIN_minute.csv,6883680.972258261
D:\\FINANCE PROJECTS\\DATASETS\\archive\ERIS_minute.csv,333942.81926709926
D:\\FINANCE PROJECTS\\DATASETS\\archive\ESCORTS_minute.csv,3027408.832297755
D:\\FINANCE PROJECTS\\DATASETS\\archive\ETERNAL_minute.csv,23173685.482482657
D:\\FINANCE PROJECTS\\DATASETS\\archive\EXIDEIND_minute.csv,1905658.89036458
D:\\FINANCE PROJECTS\\DATASETS\\archive\FACT_minute.csv,696718.0061001761
D:\\FINANCE PROJECTS\\DATASETS\\archive\FEDERALBNK_minute.csv,3747838.5096577485
D:\\FINANCE PROJECTS\\DATASETS\\archive\FINCABLES_minute.csv,463974.3447628061
D:\\FINANCE PROJECTS\\DATASETS\\archive\FINPIPE_minute.csv,303133.66228256904
D:\\FINANCE PROJECTS\\DATASETS\\archive\FIRSTCRY_minute.csv,2144967.5350782056
D:\\FINANCE PROJECTS\\DATASETS\\archive\FIVESTAR_minute.csv,1537981.1730066368
D:\\FINANCE PROJECTS\\DATASETS\\archive\FLUOROCHEM_minute.csv,959412.1032655699
D:\\FINANCE PROJECTS\\DATASETS\\archive\FORCEMOT_minute.csv,1086335.863376722
D:\\FINANCE PROJECTS\\DATASETS\\archive\FORTIS_minute.csv,1798728.5191704098
D:\\FINANCE PROJECTS\\DATASETS\\archive\FSL_minute.csv,1165941.9485749367
D:\\FINANCE PROJECTS\\DATASETS\\archive\GAIL_minute.csv,3839064.4401374436
D:\\FINANCE PROJECTS\\DATASETS\\archive\GESHIP_minute.csv,586959.9220306898
D:\\FINANCE PROJECTS\\DATASETS\\archive\GICRE_minute.csv,794849.693518186
D:\\FINANCE PROJECTS\\DATASETS\\archive\GILLETTE_minute.csv,286122.1993914191
D:\\FINANCE PROJECTS\\DATASETS\\archive\GLAND_minute.csv,2080449.9704719135
D:\\FINANCE PROJECTS\\DATASETS\\archive\GLAXO_minute.csv,367915.33084877307
D:\\FINANCE PROJECTS\\DATASETS\\archive\GLENMARK_minute.csv,2577991.2431747005
D:\\FINANCE PROJECTS\\DATASETS\\archive\GMDCLTD_minute.csv,1345731.1794719594
D:\\FINANCE PROJECTS\\DATASETS\\archive\GMRAIRPORT_minute.csv,2138266.354160156
D:\\FINANCE PROJECTS\\DATASETS\\archive\GODFRYPHLP_minute.csv,1104194.7570968042
D:\\FINANCE PROJECTS\\DATASETS\\archive\GODIGIT_minute.csv,1204273.809689905
D:\\FINANCE PROJECTS\\DATASETS\\archive\GODREJAGRO_minute.csv,364320.8183461422
D:\\FINANCE PROJECTS\\DATASETS\\archive\GODREJCP_minute.csv,2541587.074508557
D:\\FINANCE PROJECTS\\DATASETS\\archive\GODREJIND_minute.csv,547854.3615194851
D:\\FINANCE PROJECTS\\DATASETS\\archive\GODREJPROP_minute.csv,2457239.081373366
D:\\FINANCE PROJECTS\\DATASETS\\archive\GPIL_minute.csv,460313.5397828935
D:\\FINANCE PROJECTS\\DATASETS\\archive\GRANULES_minute.csv,1408503.283434108
D:\\FINANCE PROJECTS\\DATASETS\\archive\GRAPHITE_minute.csv,1511276.2184202902
D:\\FINANCE PROJECTS\\DATASETS\\archive\GRASIM_minute.csv,3619554.152287965
D:\\FINANCE PROJECTS\\DATASETS\\archive\GRAVITA_minute.csv,452519.9303479754
D:\\FINANCE PROJECTS\\DATASETS\\archive\GRSE_minute.csv,3579440.2509502843
D:\\FINANCE PROJECTS\\DATASETS\\archive\GSPL_minute.csv,672756.4848665581
D:\\FINANCE PROJECTS\\DATASETS\\archive\GUJGASLTD_minute.csv,1040171.8130899783
D:\\FINANCE PROJECTS\\DATASETS\\archive\GVTD_minute.csv,553453.290385155
D:\\FINANCE PROJECTS\\DATASETS\\archive\HAL_minute.csv,8563298.396176798
D:\\FINANCE PROJECTS\\DATASETS\\archive\HAPPSTMNDS_minute.csv,1900494.8881189418
D:\\FINANCE PROJECTS\\DATASETS\\archive\HAVELLS_minute.csv,3025421.3417960443
D:\\FINANCE PROJECTS\\DATASETS\\archive\HBLENGINE_minute.csv,1106497.325175102
D:\\FINANCE PROJECTS\\DATASETS\\archive\HCLTECH_minute.csv,7596801.76411548
D:\\FINANCE PROJECTS\\DATASETS\\archive\HDFCAMC_minute.csv,3653647.823324778
D:\\FINANCE PROJECTS\\DATASETS\\archive\HDFCBANK_minute.csv,30850661.948874954
D:\\FINANCE PROJECTS\\DATASETS\\archive\HDFCLIFE_minute.csv,5517911.578781708
D:\\FINANCE PROJECTS\\DATASETS\\archive\HEG_minute.csv,1587331.7921479465
D:\\FINANCE PROJECTS\\DATASETS\\archive\HEROMOTOCO_minute.csv,5711571.7896437505
D:\\FINANCE PROJECTS\\DATASETS\\archive\HEXT_minute.csv,2019392.4692413097
D:\\FINANCE PROJECTS\\DATASETS\\archive\HFCL_minute.csv,1978698.964109608
D:\\FINANCE PROJECTS\\DATASETS\\archive\HINDALCO_minute.csv,7935249.681231377
D:\\FINANCE PROJECTS\\DATASETS\\archive\HINDCOPPER_minute.csv,2620166.6703028786
D:\\FINANCE PROJECTS\\DATASETS\\archive\HINDPETRO_minute.csv,4124385.4284901377
D:\\FINANCE PROJECTS\\DATASETS\\archive\HINDUNILVR_minute.csv,9120313.304645725
D:\\FINANCE PROJECTS\\DATASETS\\archive\HINDZINC_minute.csv,1856305.7146410996
D:\\FINANCE PROJECTS\\DATASETS\\archive\HOMEFIRST_minute.csv,689282.3117754065
D:\\FINANCE PROJECTS\\DATASETS\\archive\HONASA_minute.csv,1365391.7043764885
D:\\FINANCE PROJECTS\\DATASETS\\archive\HONAUT_minute.csv,377321.0871667468
D:\\FINANCE PROJECTS\\DATASETS\\archive\HSCL_minute.csv,880790.7199449333
D:\\FINANCE PROJECTS\\DATASETS\\archive\HUDCO_minute.csv,2400206.965279689
